Word,Count
=,102
},51
{,51
if,36
the,30
to,20
of,19
TODO:,17
float,17
==,17
a,16
public,15
new,15
null),14
!=,13
void,13
is,12
End,11
return,10
as,9
else,9
+,8
for,8
GameObject,8
&&,8
in,7
this,7
Vector2.zero;,7
true;,7
GameObject;,7
This,7
+=,6
*,6
are,6
protected,6
If,6
\"\\,6
private,6
and,6
Time.deltaTime;,5
*=,5
all,5
<,5
hit,5
0;,5
\transform.position,\,5
override,5
yield,5
each,5
it,5
false;,5
Update,5
bool,5
I,5
myBody.velocity,4
-=,4
minion,4
minions,4
or,4
<<,4
transform.rotation),4
1,4
add,4
1f);,4
i,4
their,4
enemy,4
on,4
set,4
Piece,4
RaycastHit2D,4
(other.tag,3
transform.rotation,3
\Random.Range(-5f,\,3
||,3
activate,3
5f);,3
other),3
start,3
\Physics2D.Raycast(transform.position,\,3
-,3
spinSpeed;,3
movement,3
not,3
--,3
OnTriggerStay2D(Collider2D,3
so,3
assigned,3
it's,3
Movement,3
>,3
Entity,3
transform;,3
an,3
\"\Enemy"\)\,3
them,3
beginSpawn,3
>=,3
Vector2,3
(hit.collider,3
Check,3
need,3
moveDuration,3
other.tag,3
(myBody.angularVelocity,3
\"\Player"\\,3
some,3
array,3
mask);,2
but,2
Weapon,2
same,2
always,2
Get,2
only,2
\Collider,\,2
unlock,2
make,2
given,2
Stuff,2
\Debug.Log("\I\,2
It,2
0),2
laser,2
null,2
15;,2
Quaternion.identity),2
(other.GetComponent<Health>(),2
[HideInInspector],2
(EnumList.CheckLayer(gameObject),2
\StartCoroutine(DoT(other.GetComponent<Health>(),\,2
AutoSpin,2
then,2
maxSpin,2
\"\Player"\)\,2
\dist,\,2
adding,2
size;,2
method,2
sine,2
!beginSpawn),2
deathTimer,2
if(targets[i],2
Rotation,2
over,2
Time.deltaTime,2
0f;,2
waveCooldown;,2
spawnAlt,2
they,2
bunch,2
\dead,\,2
14;,2
1;,2
instead,2
gameObject.layer,2
Time.time,2
at,2
GetComponent<PartingGift>().repeatSpawn,2
(i,2
lastWave,2
unneeded,2
Weapons,2
\Debug.Log("\Drone\,2
\weapons,\,2
rotateSpeed);,2
%,2
one,2
activeModule.transform.parent,2
spawned,2
\hit:"\\,2
