File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\CameraController.cs,37,29,20,2,8,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\ColorShipModulePickup.cs,46,38,28,2,8,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Feeler.cs,32,18,13,4,7,0,7,20,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Fragment.cs,32,24,20,0,8,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\GameManager.cs,104,84,64,6,15,1,5,26,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\LookAtTarget.cs,76,63,45,8,13,2,0,9,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Defenses\ReflectorShield.cs,54,38,28,5,13,0,3,6,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Defenses\Shield.cs,85,58,39,11,19,0,8,46,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Defenses\ShieldGenerator.cs,51,40,30,6,11,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Enemies\BirthingPod.cs,57,45,32,4,12,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Enemies\Carrier.cs,109,86,65,13,15,1,8,160,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Enemies\OrbitMaster.cs,42,35,22,7,7,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Enemies\Shielded.cs,22,15,12,0,4,0,3,12,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Enemies\Spinner.cs,17,13,9,1,4,0,0,0,0,0
C:\Users\Alarack\Documents\Match 3 Tetris Shooter\Match 3 Tetris Shooter\Assets\Scripts\Entities\ColorModule.cs,130,102,64,23,27,1,1,30,0,0
